Certainty,Exposant,Match,Titre
100,"Trayer, Jean-Baptiste-Jules","Trayer, Jean-Baptiste-Jules",37
100,"Troyon, Constant","Troyon, Constant",27
100,"Ulmann, Benjamin","Ulmann, Benjamin",30
100,"Valadon, Jules-Emmanuel","Valadon, Jules-Emmanuel",26
100,"Van Hove, Victor","Van Hove, Victor",11
100,"Vannutelli, Scipione","Vannutelli, Scipione",8
100,"Vauchelet, Théophile","Vauchelet, Théophile",8
100,"Vautier, Benjamin","Vautier, Benjamin",4
100,"Vayson, Paul","Vayson, Paul",24
100,"Verdier, Marcel","Verdier, Marcel",36
100,"Verlat, Charles","Verlat, Charles",30
100,"Verwée, Alfred","Verwée, Alfred",5
100,"Vetter, Hégésippe-Jean","Vetter, Hégésippe-Jean",17
100,"Vibert, Jehan-Georges","Vibert, Jehan-Georges",13
100,"Vidal, Vincent","Vidal, Vincent",63
100,"Voillemot, Charles","Voillemot, Charles",21
100,"Vollon, Antoine","Vollon, Antoine",24
100,"Vuillefroy, Félix de","Vuillefroy, Félix de",10
100,"Vély, Anatole","Vély, Anatole",14
100,"Wagrez, Jacques","Wagrez, Jacques",2
100,"Wahlberg, Alfred","Wahlberg, Alfred",15
100,"Watelin, Louis-Victor","Watelin, Louis-Victor",11
100,"Weber, Adolphe","Weber, Adolphe",14
100,"Weber, Otto","Weber, Otto",14
100,"Weerts, Jean-Joseph","Weerts, Jean-Joseph",4
100,"Weisz, Adolphe","Weisz, Adolphe",13
100,"Wencker, Joseph","Wencker, Joseph",8
100,"Winne, Liévin de","Winne, Liévin de",7
100,"Worms, Jules","Worms, Jules",31
100,"Wylie, Robert","Wylie, Robert",7
100,"Yvon, Adolphe","Yvon, Adolphe",62
100,"Zac, Tony","Zac, Tony",6
100,"Zamacois, Eduardo","Zamacois, Eduardo",5
100,"Ziegler, Jules","Ziegler, Jules",1
100,"Ziem, Félix","Ziem, Félix",37
100,"Zo, Achille","Zo, Achille",21
100,"Zuber, Jean-Henri","Zuber, Jean-Henri",16
,"Aarestrup, Mlle Marie",,1
,"Aaron, Michel-Joseph",,1
,"Abbat, Auguste",,1
,"Abbema, Mlle Louise",,9
,"Abbema, Mlle Louise ",,2
,"Abbias, Mlle Aimée",,1
,Abel de Pujol,,1
,"Abel de Pujol fils, Alexandre",,2
,"Abel de Pujol, Alexandre-Denis",,10
,"Abel de Pujol, Mme (née Adrienne-Marie-Louise Grandpierre Deverzy)",,1
,"Abel, Marius",,16
,"Aberg, Mlle Victoria",,2
,"Abno, Mlle Hélène",,2
,"Abraham, Tancrède",,14
,"Abraham, Tancrède ",,2
,"Abram, B.",,2
,"Abram, Charles-Frédéric",,4
,"Accard, Eugène",,45
,"Accard, Eugène ",,1
,"Achard, Eugène,et Dubois Mortelèque",,2
,"Achard, Jean",,16
,"Achenbach, André",,10
,"Achenbach, Andréas",,1
,"Achet, Paul",,2
,"Achille, Louis-Marie",,2
,"Achère, Jules",,1
,"Aclocque de Saint-André, André",,1
,"Aclocque de Saint-André, André-Louis",,1
,"Aclocque de Saint-André, Louis-Victor",,1
,"Aclocque, Paul-Léon",,8
,"Aclocque, Paul-Léon ",,2
,"Aclocque-Saint-André, André",,4
,"Acquel, Paul",,3
,"Adam, Albert",,4
,"Adam, Benno",,4
,"Adam, Claude-Lucien",,1
,"Adam, François",,3
,"Adam, Jules",,1
,"Adam, Mlle Aline",,4
,"Adamo, Maximilian",,1
,"Adams, Mlle Elisabeth",,1
,"Adan, Albert",,3
,"Adan, Edmé",,1
,"Adan, Eugène",,2
,"Adan, Félix-Louis",,2
,"Adan, Louis-Emile",,26
,"Adan, Louis-Emile ",,1
,"Addenet, Mlle Adrienne",,2
,"Addé, Victor",,1
,"Adelina, Mlle",,2
,"Adelsward, Gustave",,2
,"Adelsward, Gustave d' ",,2
,"Adelsward, Gustave d’",,2
,"Adelswärd, Gustave d'",,3
,"Adelus, Jean-Baptiste",,1
,"Adler, Joseph",,1
,"Adolphe, Marie-Alexandre",,1
,"Adorno de Tscharner, Antoine-Charles",,2
,"Agache, Alfred-Pierre",,2
,"Agassis, Mlle Louise",,1
,"Agghazy, Jules",,1
,"Agneni, Eugenio",,3
,"Agneni, Eugène",,2
,"Agrasot, Joaquin",,2
,"Agrasot, Joaquin ",,1
